ID lat_in lon_in beta_slope inf_CI sup_CI number_of_BRUVS
"76" -13.8125995825884 125.828271138573 -1.07684596171226 -1.09684596171225 -1.05684596171226 18
"77" -15.5537430249764 123.16299867217 -0.948003339995964 -0.981003339995965 -0.915003339995963 15
"78" -13.9367584165772 125.723319827181 -1.06161174629076 -1.08461174629076 -1.03861174629076 15
"79" -13.814742740365 125.784826233577 -0.992752283602826 -1.03475228360282 -0.950752283602824 13
"80" -30.3345445779449 114.953767940536 -1.00302435437281 -1.01602435437281 -0.99002435437281 32
"81" -30.289261490567 114.690921261456 -0.98432323267156 -0.998323232671559 -0.970323232671561 34
"82" -30.3434570379205 114.818464676902 -1.06688603004926 -1.07988603004926 -1.05388603004926 31
"83" -30.3413516561361 114.901292408682 -1.20876348643424 -1.22476348643424 -1.19276348643424 30
"84" -21.5989240143369 114.720615412186 -0.997551877474989 -1.03855187747499 -0.95655187747499 5
"85" -21.5566727311828 115.059094451613 -1.05243158538109 -1.06643158538109 -1.03843158538109 30
"86" -21.4252464114833 115.141331020734 -1.10275025974517 -1.11875025974517 -1.08675025974517 18
"87" -21.5712160294118 114.732398382353 -1.02798457908648 -1.05598457908648 -0.999984579086483 6
"88" -12.513476478222 124.173028749403 -1.00735723231498 -1.02235723231498 -0.99235723231498 16
"89" -13.4396232523524 124.026303606413 -0.973206595968081 -0.98220659596808 -0.964206595968079 30
"90" -13.4702042815745 124.067622251677 -1.0728150218676 -1.0818150218676 -1.0638150218676 32
"91" -13.0690191855236 124.584258116814 -1.04164813579346 -1.06464813579346 -1.01864813579346 8
"92" -13.078674093643 124.579961622606 -1.02256661522732 -1.03056661522732 -1.01456661522732 16
"93" -12.5170012724731 124.17639136577 -0.964625681102143 -0.978625681102141 -0.950625681102142 7
"94" -13.9032124939666 123.906673184855 -0.986996023975139 -0.995996023975138 -0.977996023975138 24
"95" -12.563054924712 124.005229790756 -0.998395105656953 -1.01039510565695 -0.986395105656953 22
"96" -12.8834745629956 124.336471045918 -1.08566129362073 -1.10366129362073 -1.06766129362073 8
"97" -12.5709101871691 123.598099040207 -0.993944040201339 -1.00694404020134 -0.980944040201337 16
"98" -12.8040282819065 124.281987026128 -0.981139170147476 -0.991139170147473 -0.971139170147474 24
"99" -12.5464214315253 124.033980361168 -0.984297204266702 -0.993297204266703 -0.975297204266703 23
"100" -12.8817810125075 124.344584210678 -1.03193504785396 -1.04893504785396 -1.01493504785396 15
"101" -12.5464958930144 124.032648564637 -0.947018630202882 -0.972018630202882 -0.922018630202881 7
"102" -20.4390063878492 115.566592511387 -1.02509997582096 -1.03109997582096 -1.01909997582096 41
"103" -20.4508702572823 115.473698771926 -1.11786894622741 -1.12586894622741 -1.10986894622741 39
"104" -20.2263438202247 115.348101048689 -1.07791483444672 -1.09291483444672 -1.06291483444672 20
"105" -20.2644224470135 115.441726989403 -0.989404506409773 -0.997404506409772 -0.981404506409774 30
"106" -20.3446159804321 115.592125046881 -1.10973906237316 -1.12073906237316 -1.09873906237317 30
"107" -20.3628471830986 115.352629978873 -1.04817014077555 -1.05617014077555 -1.04017014077555 30
"108" -20.4530780487805 115.386492268293 -1.0916258252631 -1.1196258252631 -1.0636258252631 10
"109" -22.4424889712794 167.165708036554 -1.03614983643506 -1.06214983643506 -1.01014983643506 4
"110" -22.3839050508475 167.073110635593 -1.02357859096776 -1.08557859096776 -0.961578590967761 4
"111" -20.2073979428571 163.944204228571 -0.989193323476725 -1.03619332347672 -0.942193323476722 10
"112" -19.686609390681 163.612084767025 -1.08192933631609 -1.11292933631609 -1.05192933631609 6
"113" -20.6909593782383 164.249061588946 -1.03540368967316 -1.06040368967316 -1.01040368967316 4
