"Exped" "Date" "mean lat" "mean long" "beta_slope" "inf CI" "sup CI" "String Number"
"Ascension Gov 2017" "2017-01-30" -7.93941594594595 -14.4884108108108 -1.21153610368299 -1.30664610368299 -1.12699610368299 1
"Ascension Gov 2017" "2017-05-25" -9.73568652173913 -12.9873543478261 -1.05871310767231 -1.15882310767231 -0.962593107672312 3
"Ascension Gov 2017" "2017-01-21" -7.99336587044534 -14.3508046963563 -0.784947970344726 -0.820027970344726 -0.748267970344726 2
"Ascension Gov 2017" "2017-02-06" -7.46253319148936 -14.4073104255319 -1.33602872921284 -1.45655872921284 -1.22152872921284 1
"Ascension Gov 2017" "2017-01-26" -9.74747831210191 -12.5482785987261 -0.805719155634482 -0.837779155634482 -0.772579155634482 2
"Ascension Gov 2017" "2017-02-03" -6.0813248 -11.6954192 -1.17235904863931 -1.28227904863931 -1.07445904863931 2
"Ascension Gov 2017" "2017-02-14" -8.96098634146341 -13.6163551219512 -1.16999987216668 -1.26461987216668 -1.08236987216668 1
"Ascension Gov 2017" "2017-01-18" -7.93984991304348 -14.1103897391304 -1.34990468308436 -1.42020468308436 -1.28650468308436 3
"Ascension Gov 2017" "2017-02-10" -7.02502705882353 -17.101345 -1.29338209912531 -1.41745209912531 -1.18651209912531 2
"Ascension Gov 2017" "2017-01-16" -7.93516142857143 -14.6759838095238 -1.29608578408447 -1.58652578408447 -1.02859578408447 1
"Ascension Gov 2017" "2017-02-04" -4.89344864864865 -13.3080456756757 -1.07498417358793 -1.26719417358793 -0.885904173587928 1
"Ascension Gov 2017" "2017-02-09" -5.60283518518519 -16.598992962963 -1.04415968360955 -1.23455968360955 -0.856279683609548 2
"Ascension PS 2017" "2017-06-02" -9.72634822580645 -12.818144516129 -0.869489859869393 -0.926689859869393 -0.808759859869393 2
"Ascension PS 2017" "2017-06-03" -9.73017833333333 -12.817542037037 -0.940916566318521 -0.981106566318521 -0.899866566318521 3
"Ascension PS 2017" "2017-05-31" -9.64836178571429 -12.0854296428571 -1.07087434161668 -1.15231434161668 -0.993444341616682 3
"Ascension PS 2017" "2017-05-30" -9.80284864864865 -12.0860771621622 -0.779843063346379 -0.840313063346379 -0.713753063346379 3
"Ascension Gov 2018" "2018-01-22" -9.75815848484848 -12.0899406060606 -0.744240677869461 -0.84194067786946 -0.639910677869461 1
"Ascension Gov 2018" "2018-01-25" -9.74247952755906 -12.8161437795276 -0.762464806258124 -0.807954806258124 -0.713194806258124 1
"Ascension Gov 2018" "2018-02-20" -8.77644852941176 -15.7780570588235 -1.1541716907922 -1.2539216907922 -1.0619816907922 2
"Ascension Gov 2018" "2018-01-31" -8.43795794520548 -17.065668630137 -0.943071049621217 -1.01692104962122 -0.868011049621217 1
"Ascension Gov 2018" "2018-02-03" -5.92048390243902 -14.551803902439 -1.05254411148123 -1.15408411148123 -0.952984111481233 2
"Ascension Gov 2018" "2018-02-19" -9.34208074074074 -14.7653533333333 -1.15188252872719 -1.26233252872719 -1.05082252872719 1
"Ascension Gov 2018" "2018-02-04" -5.5142256 -13.41059384 -1.09028223707021 -1.18364223707021 -1.00271223707021 2
"Ascension Gov 2018" "2018-02-02" -6.85873808988764 -15.2221656179775 -0.674183050885747 -0.746123050885747 -0.594653050885747 2
"Ascension Gov 2018" "2018-01-29" -7.89783714285714 -14.9775552380952 -1.07300011386251 -1.18191011386251 -0.969570113862514 1
"Ascension Gov 2018" "2018-02-07" -6.77582933333333 -14.500429 -1.25902556046197 -1.36998556046197 -1.16639556046196 2
"Ascension Gov 2018" "2018-01-19" -5.946962 -12.345556 -0.953494950978531 -1.03736495097853 -0.867214950978532 2
"Ascension Gov 2018" "2018-02-05" -4.85592851851852 -14.7056633333333 -1.11489450123605 -1.21219450123605 -1.02453450123605 2
"Ascension Gov 2018" "2018-01-30" -7.9168865942029 -16.0722638405797 -1.28520736151985 -1.34197736151985 -1.23260736151985 2
"Chagos 2012" "2012-12-04" -5.25498195937873 72.3934270609319 -1.16731472453028 -1.20037472453028 -1.13527472453028 4
"Chagos 2012" "2012-11-22" -7.14613975694444 72.1263690972222 -0.934587555623477 -0.979757555623477 -0.888347555623477 3
"Chagos 2012" "2012-11-23" -7.1462391025641 72.1283067307692 -0.948817737865467 -0.995087737865467 -0.901777737865467 3
"Chagos 2012" "2012-12-03" -5.38279041666666 72.3090991666667 -1.26721176985884 -1.31910176985884 -1.21774176985884 2
"Chagos 2012" "2012-11-27" -5.11949404761905 72.2620833333333 -1.08429251346012 -1.28024251346012 -0.893002513460123 1
"Chagos 2012" "2012-12-06" -5.28983269881557 72.2892160744501 -1.24700643452499 -1.27880643452499 -1.21637643452499 2
"Chagos 2012" "2012-12-05" -5.27331368159204 72.277877238806 -1.18312627968757 -1.23743627968757 -1.13113627968757 2
"Chagos 2012" "2012-12-07" -5.35491531986532 72.2966156565656 -1.32186102340146 -1.40203102340146 -1.24798102340146 2
"Chagos 2012" "2012-11-28" -5.3494731981982 72.0107536036036 -0.98486262507216 -1.14159262507216 -0.827812625072159 2
"Chagos 2012" "2012-11-30" -5.55633108108108 71.8415117117117 -1.18734072685362 -1.28964072685362 -1.09373072685362 2
"Chagos 2012" "2012-11-29" -5.35861171171171 72.0038217717718 -1.08316393571414 -1.15690393571414 -1.01058393571414 2
"Chagos 2015" "2015-01-19" -7.14345713217204 72.2083824249462 -0.87810458808914 -0.899394588089141 -0.85638458808914 4
"Chagos 2015" "2015-01-20" -7.13253762162162 72.1855976216216 -0.969610459450981 -1.00023045945098 -0.938730459450981 4
